strength,dexterity,fighting,shieldsSkill,armourSkill,armourEncumb,shieldPenalty,species size,weap1 damage,w1 base delay,w1 min delay,w1 total slaying,brand,w1 ranged?,weap2 damage,w2 base delay,w2 min delay,w2 total slaying,w2 brand,w2 ranged?,,,Authorisation:,https://yagisanatode.com/2020/08/17/running-google-apps-script-for-the-first-time-whats-with-all-the-warnings/,,,,,,,,,,
ice dragon,12,900,10,8,90,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
great orb of eyes,12,660,10,3,66,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
blizzard demon,12,660,10,10,66,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
Executioner,12,660,10,15,66,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
crystal echidna,12,640,10,10,64,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
Azrael,11,880,10,5,88,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
vampire knight,11,715,10,10,71.5,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
wretched star,10,700,10,10,70,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
jiangshi,10,650,10,10,65,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
oklob plant,10,550,10,0,55,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
vampire mage,10,550,10,10,55,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
sun demon,10,550,10,12,55,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
briar patch,10,150,10,0,15,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
cherub,9,765,10,20,76.5,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
demonic crawler,9,585,10,6,58.5,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
spellforged servitor,8,800,10,10,80,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
spriggan air mage,14,490,1,24,49,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
draconian,8,640,10,11,64,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
burning bush,8,440,10,0,44,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
rust devil,8,440,10,8,44,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
queen bee,7,385,10,10,38.5,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
efreet,7,385,10,5,38.5,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
flying skull,7,210,10,17,21,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
vampire,6,330,10,10,33,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
wraith,6,330,10,10,33,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
guardian golem,5,400,10,2,40,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
large simulacrum,5,275,10,5,27.5,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
oklob sapling,4,220,10,0,22,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
simulacrum,2,110,10,4,11,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
small simulacrum,2,110,10,4,11,1.231174204,1.224935146,1.227629539,1.224028781,1.219905443,1.213426619,1.206429606,1.198117398,1.189505271,1.179712669,1.1694172,1.157895439,1.145647795,1.132160179,1.117385012,1.101473127,1.083858079,1.064690877,1.04343133,0.9690540843,0.8945304815,0.8945906989,0.8945779452,0.8946945907,0.894818237,0.8952852973,0.8947495271,0.8946034805
apis,16,1200,9,5,120,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
draconian knight,16,1120,9,2,112,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
frost giant,16,1040,9,3,104,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
thorn hunter,15,975,9,9,97.5,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
demonspawn black sun,15,925,9,12,92.5,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
black draconian,14,980,9,10,98,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
yellow draconian,14,980,9,10,98,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
pale draconian,14,980,9,14,98,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
green draconian,14,980,9,10,98,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
purple draconian,14,980,9,10,98,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
red draconian,14,980,9,10,98,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
white draconian,14,980,9,10,98,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
death yak,14,770,9,5,77,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
spark wasp,12,660,9,14,66,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
ettin,12,660,9,4,66,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
Nergalle,10,600,9,11,60,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
ghost crab,9,585,9,6,58.5,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
crab,8,520,9,6,52,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
ushabti,7,455,9,6,45.5,1.213577768,1.207427881,1.209710618,1.206237522,1.202243626,1.196000316,1.189233963,1.181201238,1.172857403,1.163359312,1.153351862,1.142148133,1.130222491,1.117068055,1.102635767,1.08707575,1.0698389,1.051057575,1.030207835,0.9568958219,0.8834223552,0.8835941433,0.8836975395,0.8839235774,0.8841556066,0.8847056491,0.8843002447,0.8842577583
vault guard,13,715,1,13,71.5,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
the Royal Jelly,21,2310,8,4,231,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
caustic shrike,18,1080,8,18,108,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
revenant,18,810,8,12,81,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
halazid warlock,18,750,8,12,75,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
elemental wellspring,18,620,8,8,62,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
fire giant,16,960,8,4,96,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
mutant beast,15,825,8,5,82.5,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
nameless horror,15,600,8,2,60,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
animated armour,15,400,8,5,40,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
Aizul,14,1400,8,18,140,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
moth,13,715,8,10,71.5,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
starspawn tentacle,11,220,8,2,22,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
starspawn tentacle segment,11,220,8,2,22,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
skyshark,10,800,8,8,80,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
servant of whispers,12,800,1,12,80,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
mummy priest,10,650,8,7,65,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
torpor snail,10,600,8,1,60,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
elephant,9,675,8,2,67.5,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
toenail golem,9,585,8,5,58.5,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
lindwurm,9,495,8,6,49.5,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
spectral thing,8,440,8,5,44,1.196306105,1.190243743,1.19214519,1.188785376,1.184929075,1.178925392,1.172390943,1.164635304,1.156559667,1.147354682,1.137631935,1.126741487,1.115131643,1.102304678,1.08820989,1.072993911,1.05612672,1.037722268,1.017272883,0.945001817,0.8725545405,0.8728350794,0.8730506534,0.8733818262,0.8737174903,0.8743471454,0.8740681377,0.8741264982
